A,b,,B,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,NLMR,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,LongParameterList,,,,,,,,,,,,,,,,MIM,,,,,UC
,,LongParameterList,,,,,,,,,,,,,,,,MIM,,,,,
,,LongParameterList,,,,,,,,,,,,,IGS,,,MIM,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,MIM,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,MIM,,,,,
,,,,,,,,,,,,,,,,,,MIM,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,LongParameterList,,,,,,,,,,,,,,,,MIM,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,IGS,,,MIM,,,,,
,,,,,,,,,,,,,,,,,,,,,,SL,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,LIC,,,,,,,
,,LongParameterList,,LongMethod,,,,,,,,,,,,,,,,,,,
,,LongParameterList,,,,,,,,,,,,,,LIC,,,,,,,UC
LazyClass,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,MIM,,,,,
,ComplexClass,,FeatureEnvy,LongMethod,BlobClass,MessageChain,,,,,,,,,,,,MIM,,,,,
,,,,,,,,,,,,,,,,,,MIM,,,,,UC
,ComplexClass,,,LongMethod,BlobClass,,,,DTWC,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,LIC,,,,,,,
,ComplexClass,,,LongMethod,BlobClass,,SpaghettiCode,,,,,,,,,,,,,,,,UC
,,,,,,,,,,,,,,,,,,,,,,,
LazyClass,,,,,,,,,,,,,,,,,,,,,,,
,ComplexClass,LongParameterList,FeatureEnvy,LongMethod,BlobClass,,,,,,,,,,,,,MIM,,,,,
,,,,,,,,,,,,,,,,,,MIM,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
LazyClass,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,MIM,,,,,
,ComplexClass,LongParameterList,,,BlobClass,,,,DTWC,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MessageChain,,,,,,,,,,,,,,,,,
,ComplexClass,,FeatureEnvy,LongMethod,BlobClass,MessageChain,,,,,,,,,IGS,,LT,MIM,,,,,
,,,,,,,,,,,,,,,,,,MIM,,,,,
